"Dataset name: Government Statistics; Frequency: Quarterly; Adjustment indicator: Neither seasonally nor working day adjusted; Creditor user assets sector: General government (ESA95)-EUR; ESA item - GST context: Deficit or surplus; Debtor resource liabil sector: All sectors/ unspecified/ not applicable (ESA95) - EUR; Valuation - GST context: Non-financial flows current prices; Series variation - GST context: Percentage points, series(t)/GDP(t)"
,GST.Q.AT.N.D1300.DEF.D0000.CU.G,GST.Q.BE.N.D1300.DEF.D0000.CU.G,GST.Q.DE.N.D1300.DEF.D0000.CU.G,GST.Q.ES.N.D1300.DEF.D0000.CU.G,GST.Q.FI.N.D1300.DEF.D0000.CU.G,GST.Q.FR.N.D1300.DEF.D0000.CU.G,GST.Q.GR.N.D1300.DEF.D0000.CU.G,GST.Q.IE.N.D1300.DEF.D0000.CU.G,GST.Q.IT.N.D1300.DEF.D0000.CU.G,GST.Q.LU.N.D1300.DEF.D0000.CU.G,GST.Q.NL.N.D1300.DEF.D0000.CU.G,GST.Q.PT.N.D1300.DEF.D0000.CU.G
,Austria,Belgium,Germany,Spain,Finland,France,Greece (GR),Ireland,Italy,Luxembourg,Netherlands,Portugal
Collection:,Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S)
Period\Unit:,[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ],[Percent ]
2003Q1,-4.729593,-7.937818,-5.779068,1.677154,1.425926,-7.837453,-6.150385,-1.883696,-7.616441,0.721759,-3.126325,-4.442118
2002Q4,0.472442,3.843754,-3.322253,-3.951256,2.432743,-0.293108,-6.014163,-0.769063,0.894931,-5.745774,-1.499576,-1.224043
2002Q3,-0.391760,-3.463444,-4.233347,2.463591,2.669671,-4.659197,-2.229088,-2.856972,-4.387218,7.385557,-3.516255,-6.871529
2002Q2,0.011891,4.676129,-1.954534,-2.291578,6.250886,-1.585339,-6.041678,4.855948,-1.480745,3.322171,-1.295705,-1.755143
2002Q1,-3.926328,-6.229191,-5.918815,3.289677,5.230501,-6.766544,-5.158643,-2.349475,-7.565248,3.943612,-2.183406,-1.904768
2001Q4,1.014058,4.618397,-3.976403,-3.893640,2.496520,1.664175,-6.450194,-3.479367,-2.719025,4.029839,-0.798171,-8.458803
2001Q3,0.119480,-4.071820,-4.049914,-0.756941,5.100191,-3.305801,-0.815952,-2.185097,-1.843219,8.693008,-0.421334,-3.851196
2001Q2,1.127655,5.404183,-0.050338,-0.706991,8.232142,0.609265,-4.322194,8.589219,-1.434411,8.488316,1.416253,-2.937488
2001Q1,-3.155270,-5.071299,-4.163812,3.504637,4.566469,-5.773645,-6.370955,1.110405,-6.571613,3.495433,-1.236047,-1.614183
2000Q4,2.140092,3.492263,-1.332927,-4.051484,7.139922,2.262896,-9.807704,1.423548,2.179167,1.981311,3.803126,-7.599302
2000Q3,-1.821775,-4.267490,7.433771,-2.834638,5.618379,-2.422684,2.054815,1.551575,-1.848891,9.044409,1.594201,-1.378276
2000Q2,-1.706253,4.797154,1.722670,1.455341,9.576646,-0.199323,-3.557695,13.190148,-1.061261,7.038413,3.897229,-1.180668
2000Q1,-6.387878,-4.806909,-3.429008,1.832411,5.375069,-5.942200,-3.726478,3.061924,-3.063620,6.085808,-1.602829,-1.183053
1999Q4,0.017985,4.175895,-0.245314,,1.425720,4.219230,,-3.536891,0.677840,0.653826,2.226140,-8.907676
1999Q3,-2.398040,-4.547894,-2.905436,,2.059966,-4.118752,,0.583120,-1.349021,4.207860,0.137075,-1.158520
1999Q2,-2.687153,5.193067,0.548565,,4.096032,-0.087083,,13.312354,-0.421297,8.372703,1.201592,-0.053120
1999Q1,-4.884226,-8.119231,-3.923453,,-1.120125,-7.627591,,0.989710,-6.442635,0.223049,-2.105624,-0.234281
1995Q4,,,,,,,,-,,,,
1995Q3,,,,,,,,-,,,,
1995Q2,,,,,,,,-,,,,
1995Q1,,,,,,,,-,,,,
1994Q4,,,,-,,,,-,,,,
1994Q3,,,,-,,,,-,,,,
1994Q2,,,,-,,,,-,,,,
1994Q1,,,,-,,,,-,,,,
1993Q4,,,,-,,,,-,,,,
1993Q3,,,,-,,,,-,,,,
1993Q2,,,,-,,,,-,,,,
1993Q1,,,,-,,,,-,,,,
1992Q4,,,,-,,,,-,,,,
1992Q3,,,,-,,,,-,,,,
1992Q2,,,,-,,,,-,,,,
1992Q1,,,,-,,,,-,,,,
1991Q4,,,,-,,,,-,,,,
1991Q3,,,,-,,,,-,,,,
1991Q2,,,,-,,,,-,,,,
1991Q1,,,,-,,,,-,,,,
1990Q4,,,,,,-,,-,-,,-,
1990Q3,,,,,,-,,-,-,,-,
1990Q2,,,,,,-,,-,-,,-,
1990Q1,,,,,,-,,-,-,,-,
