"Dataset name: Short-Term Statistics; Frequency: Monthly; Adjustment indicator: Seasonally adjusted, not working day adjusted; Concept - STS context: Standardised unemployment; Classification - STS context: Rate, Total (all ages), Total (male & female); Institution originating the data flow: Eurostat; Series variation - STS context: unspecified"
,STS.M.AT.S.UNEH.RTT000.4.000,STS.M.BE.S.UNEH.RTT000.4.000,STS.M.DE.S.UNEH.RTT000.4.000,STS.M.ES.S.UNEH.RTT000.4.000,STS.M.FI.S.UNEH.RTT000.4.000,STS.M.FR.S.UNEH.RTT000.4.000,STS.M.GR.S.UNEH.RTT000.4.000,STS.M.IE.S.UNEH.RTT000.4.000,STS.M.IT.S.UNEH.RTT000.4.000,STS.M.LU.S.UNEH.RTT000.4.000,STS.M.NL.S.UNEH.RTT000.4.000,STS.M.PT.S.UNEH.RTT000.4.000
,Austria,Belgium,Germany,Spain,Finland,France,Greece (GR),Ireland,Italy,Luxembourg,Netherlands,Portugal
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[N.A],[N.A],[N.A],[N.A],[N.A],[N.A],[N.A],[N.A],[N.A],[N.A],[N.A],[N.A]
1989Feb,,7.790000,,14.610000,3.380000,9.010000,-,15.360000,9.850000,1.700000,5.940000,5.420000
1989Jan,,7.920000,,14.720000,3.500000,9.070000,-,15.530000,9.830000,1.740000,5.990000,5.430000
1988Dec,,8.070000,,14.810000,3.630000,9.110000,-,15.670000,9.790000,1.780000,6.040000,5.490000
1988Nov,,8.190000,,14.860000,3.760000,9.150000,-,15.830000,9.830000,1.790000,6.080000,5.560000
1988Oct,,8.340000,,15.110000,3.880000,9.210000,-,15.960000,9.750000,1.850000,6.120000,5.570000
1988Sep,,8.510000,,15.640000,3.980000,9.260000,-,16.070000,9.600000,1.900000,6.160000,5.520000
1988Aug,,8.690000,,15.980000,4.070000,9.320000,-,16.200000,9.640000,1.930000,6.200000,5.490000
1988Jul,,8.820000,,16.140000,4.150000,9.340000,-,16.240000,9.610000,1.960000,6.220000,5.570000
1988Jun,,8.940000,,16.250000,4.240000,9.350000,6.880000,16.260000,9.630000,1.970000,6.250000,5.860000
1988May,,9.070000,,16.270000,4.310000,9.370000,6.890000,16.340000,9.640000,2.040000,6.270000,6.140000
1988Apr,,9.180000,,16.190000,4.380000,9.400000,6.890000,16.440000,9.670000,2.110000,6.290000,6.260000
1988Mar,,9.270000,,16.170000,4.460000,9.480000,-,16.540000,9.740000,2.190000,6.300000,6.230000
1988Feb,,9.360000,,16.220000,4.560000,9.570000,-,16.510000,9.730000,2.240000,6.310000,6.190000
1988Jan,,9.430000,,16.300000,4.660000,9.610000,-,16.510000,9.730000,2.270000,6.310000,6.240000
1987Dec,,9.510000,,16.300000,,9.650000,-,16.530000,9.730000,2.280000,6.320000,6.440000
1987Nov,,9.580000,,16.310000,,9.690000,-,16.500000,9.710000,2.280000,6.320000,6.650000
1987Oct,,9.630000,,16.420000,,9.730000,-,16.510000,9.760000,2.350000,6.320000,6.820000
1987Sep,,9.670000,,16.630000,,9.760000,-,16.520000,9.820000,2.410000,6.320000,6.910000
1987Aug,,9.740000,,16.680000,,9.780000,-,16.530000,9.820000,2.420000,6.320000,6.980000
1987Jul,,9.830000,,16.790000,,9.810000,-,16.580000,9.830000,2.480000,6.320000,7.100000
1987Jun,,9.890000,,16.870000,,9.890000,6.620000,16.670000,9.930000,2.530000,6.320000,7.300000
1987May,,9.930000,,16.930000,,9.940000,6.620000,16.740000,9.650000,2.560000,6.320000,7.470000
1987Apr,,9.970000,,16.950000,,10.000000,6.630000,16.650000,9.370000,2.630000,6.320000,7.600000
1987Mar,,9.970000,,17.180000,,10.000000,-,16.660000,9.290000,2.610000,6.330000,7.760000
1987Feb,,10.020000,,17.220000,,9.950000,-,16.740000,9.250000,2.480000,6.330000,7.900000
1987Jan,,10.080000,,17.260000,,9.910000,-,16.810000,9.250000,2.430000,6.340000,7.960000
1986Dec,,10.070000,,17.260000,,9.870000,-,16.810000,9.190000,2.350000,6.350000,8.070000
1986Nov,,10.070000,,17.290000,,9.830000,-,16.760000,9.100000,2.260000,6.360000,8.180000
1986Oct,,10.040000,,17.210000,,9.800000,-,16.740000,9.110000,2.300000,6.380000,8.280000
1986Sep,,9.960000,,17.280000,,9.770000,-,16.780000,9.080000,2.390000,6.410000,8.320000
1986Aug,,9.970000,,17.290000,,9.740000,-,16.830000,8.990000,2.460000,6.440000,8.460000
1986Jul,,10.050000,,17.370000,,9.720000,-,16.870000,8.900000,2.520000,6.480000,8.680000
1986Jun,,10.090000,,17.390000,,9.710000,6.630000,16.900000,8.820000,2.650000,6.530000,8.970000
1986May,,10.090000,,17.550000,,9.680000,6.640000,16.850000,8.780000,2.720000,6.580000,9.200000
1986Apr,,10.090000,,17.670000,,9.620000,6.640000,16.820000,8.750000,2.650000,6.630000,9.320000
1986Mar,,10.070000,,,,9.550000,-,16.850000,8.640000,2.740000,6.690000,9.370000
1986Feb,,10.050000,,,,9.530000,-,16.820000,8.560000,2.800000,6.760000,9.350000
1986Jan,,10.020000,,,,9.540000,-,16.940000,8.510000,2.760000,6.830000,9.350000
1985Dec,,9.970000,,,,9.560000,-,16.970000,8.490000,2.780000,6.910000,9.310000
1985Nov,,9.930000,,,,9.570000,-,16.910000,8.420000,2.810000,6.990000,9.240000
1985Oct,,9.940000,,,,9.580000,-,17.000000,8.330000,2.810000,7.070000,9.210000
1985Sep,,9.940000,,,,9.580000,-,17.070000,8.260000,2.820000,7.140000,9.260000
1985Aug,,9.930000,,,,9.570000,-,17.020000,8.220000,2.890000,7.220000,9.250000
1985Jul,,9.940000,,,,9.570000,-,16.930000,8.180000,2.980000,7.300000,9.200000
1985Jun,,10.030000,,,,9.550000,7.010000,16.810000,8.110000,3.030000,7.380000,9.130000
1985May,,10.140000,,,,9.530000,7.020000,16.730000,8.030000,3.020000,7.460000,9.120000
1985Apr,,10.240000,,,,9.520000,7.020000,16.710000,7.990000,2.950000,7.530000,9.100000
1985Mar,,10.400000,,,,9.550000,-,16.650000,7.990000,2.860000,7.600000,9.060000
1985Feb,,10.580000,,,,9.580000,-,16.550000,8.010000,2.830000,7.680000,9.020000
1985Jan,,10.590000,,,,9.580000,-,16.340000,7.950000,2.800000,7.740000,9.050000
1984Dec,,10.630000,,,,9.540000,-,16.150000,7.850000,2.840000,7.810000,9.080000
1984Nov,,10.730000,,,,9.490000,-,16.000000,7.770000,2.960000,7.880000,9.090000
1984Oct,,10.790000,,,,9.450000,-,15.840000,7.800000,2.960000,7.930000,9.030000
1984Sep,,10.880000,,,,9.390000,-,15.690000,7.800000,2.930000,7.990000,8.930000
1984Aug,,10.890000,,,,9.320000,-,15.550000,7.770000,3.020000,8.040000,8.880000
1984Jul,,10.840000,,,,9.280000,-,15.480000,7.780000,3.010000,8.080000,8.850000
1984Jun,,10.840000,,,,9.190000,7.300000,15.410000,7.780000,2.940000,8.120000,8.830000
1984May,,10.840000,,,,9.120000,7.300000,15.380000,7.850000,2.910000,8.160000,8.810000
1984Apr,,10.840000,,,,9.030000,7.310000,15.320000,7.880000,2.970000,8.190000,8.800000
1984Mar,,10.850000,,,,8.860000,-,15.180000,7.850000,3.210000,8.210000,8.750000
1984Feb,,10.840000,,,,8.670000,-,15.060000,7.900000,3.300000,8.230000,8.730000
1984Jan,,10.860000,,,,8.480000,-,14.870000,7.930000,3.290000,8.240000,8.700000
1983Dec,,10.910000,,,,8.320000,-,14.730000,7.760000,3.350000,8.250000,8.640000
1983Nov,,10.960000,,,,8.150000,-,14.620000,7.720000,3.350000,8.260000,8.590000
1983Oct,,10.980000,,,,8.000000,-,14.460000,7.610000,3.320000,8.270000,8.570000
1983Sep,,10.930000,,,,7.860000,-,14.260000,7.480000,3.460000,8.270000,8.580000
1983Aug,,10.850000,,,,7.750000,-,14.120000,7.430000,3.650000,8.270000,8.530000
1983Jul,,10.800000,,,,7.650000,-,14.010000,7.410000,3.630000,8.270000,8.390000
1983Jun,,10.740000,,,,7.560000,7.050000,13.880000,7.350000,3.600000,8.270000,8.180000
1983May,,10.690000,,,,7.450000,7.050000,13.720000,7.260000,3.510000,8.260000,7.990000
1983Apr,,10.640000,,,,7.360000,7.040000,13.540000,7.220000,3.330000,8.260000,7.800000
1983Mar,,10.570000,,,,7.330000,,13.370000,7.230000,3.250000,8.250000,7.640000
1983Feb,,10.480000,,,,7.340000,,13.170000,7.060000,3.260000,8.250000,7.520000
1983Jan,,10.410000,,,,7.340000,,12.940000,6.920000,3.320000,8.240000,7.450000
